user_id,gender_cd,age,foreigner_yn,os_type
01509a0865440e0,2,32,N,A
7d4697fbadb1c09,1,27,N,A
7b2a7724faf1400,1,26,N,A
b3876137175bec2,1,25,N,B
4e1d1005ebb3119,2,31,N,A
a81f26d3c612a1e,2,29,N,A
aa591e4c05aa100,2,37,N,A
8017adb2b9f959d,2,36,N,A
25c5050fb7b24dc,1,28,N,A
2d24f87ab27f37e,2,30,N,A
198b8d2cf6fa5aa,2,32,N,A
d06f100f341cbf8,2,32,N,A
618cf9e25e98f85,2,40,N,A
fc1058aa17f59fc,2,24,N,B
67e82e30b3e1af8,1,35,N,A
2e4e8761e2757ce,2,27,N,B
cfbb839b4d1dfe2,2,31,N,A
b0a5181763163ff,2,20,N,A
a96f363845e183d,1,27,N,B
de84f685acf02ae,1,27,N,A
eb40875212599cd,1,28,N,B
422015ef0f9669c,2,44,N,A
f8f879c9a62a465,1,22,N,A
6ddd1e1abfbeb0a,2,26,N,A
73842e4168127ca,2,28,N,B
fcb42d15d48c9c3,2,29,N,A
5aa1be9f1cfc3c0,2,42,N,A
d87ad221d493418,2,34,N,A
b48f6dca94fdd50,2,26,N,A
dd39a3e0d8d8ca5,1,37,N,A
8984244df98c79c,2,21,N,A
4517437ff19fc8a,1,25,N,A
368ae9b484ebf32,1,25,N,A
8bf79f2e9b1ebe3,1,33,N,A
041fa807ab2daea,1,20,N,B
fd7ea90a846be04,2,26,N,A
afe2a46a3d1fbf5,1,34,N,A
cf89d0294c227fd,1,30,N,A
e670db8db1f25f9,1,30,N,A
70eb0069a0a0883,2,28,N,A
5baf6562eb1b523,2,35,N,B
526a75e3c075f77,1,35,N,B
1c4f17cf417861c,1,25,N,B
101faff8ef1fa2d,2,23,N,A
2e37c2d43acd7b5,1,36,N,B
b6879c7baf415cb,2,24,N,B
529f3066bec92e4,2,34,N,A
2932f70ee43287e,2,25,N,B
ec51a14264e307a,1,28,N,A
5a5756b87d2ce85,2,35,N,A
79837f1cedd2e19,1,39,N,A
5e6c3a532210576,1,24,N,B
47f29c9c71996b8,2,26,N,B
2c3238109c791c8,2,27,N,B
abeedc35dbd0572,1,40,N,A
ab40f1a5fc1df3d,2,23,N,A
f55e8f8437b91d1,1,33,N,B
c3fbc1909b8c7eb,1,39,N,A
0557735dfe66723,2,36,N,B
2afafbc72924e82,2,25,N,B
52c9b326f442706,2,46,N,A
efd7f99d6039ed1,1,29,N,B
f603bb14aaad9a7,1,38,N,A
5f4c343be4e043e,1,20,N,A
31fc96943c290c8,1,26,N,A
49ba597ea0af363,1,41,N,A
1bb96a4918e054e,2,28,N,A
be7b121fed85d0f,1,26,N,B
20a1e81eb5e033c,2,23,N,A
f4da026275410a3,2,21,N,A
a56b7bae2791c9c,2,36,N,A
1235a24a8ed14ab,2,26,N,A
c200ccb083102ad,2,28,N,B
59a34e057dcb15e,2,23,N,A
49bca2f7719b908,1,39,N,A
ed0e0d66e08443e,1,26,N,A
4840e3a318952af,1,34,N,A
878afb968e4f130,2,22,N,B
2dd5b1c6b7315bd,1,26,N,B
4c791bfa6c301b5,2,21,N,A
ce226974a130764,1,39,N,B
924aea3e655204e,2,25,N,A
e7baf84cd31c356,1,35,N,A
0f5c7b00f5f0ed5,2,29,N,A
082aa89b4a5d277,2,36,N,A
cac87d0289a0639,1,44,N,A
9c776f927daae58,2,28,N,A
a4f39d73b64f4c0,2,28,N,A
7deb0b7179077ad,1,23,N,B
420630d32f10d83,1,27,N,A
4f9759c61c8792e,2,44,N,B
5f9f147da3c4f5a,2,34,N,A
7c461eeb9d71172,2,23,N,A
8e605e81df12bf9,1,26,N,A
3227c3fcd3362c6,2,28,N,A
b0c791928684f8b,1,40,N,A
602654608e4b82d,1,57,N,A
82dc6e3135e453b,2,21,N,A
1d03f3c7f7602d5,2,25,N,A
c798f2013f1109b,2,29,N,A
505e70b5b593d39,1,30,N,A
8848fb84fabf50a,2,22,N,B
ef61016f25942d0,2,31,N,A
3dc6161fce98f96,2,37,N,A
627f8f02d8fa86f,2,25,N,A
c2e93af8fbdb15f,2,22,N,B
07d96e8e1739631,2,28,N,B
f505c9f043fd1a9,2,29,N,A
2d65a59ac328f1d,2,25,N,B
be2373c7246887a,2,27,N,A
014032df1863781,2,20,N,A
4f2bc35ea5f907c,1,19,N,A
cb1b1a477cd982f,2,26,N,A
1720dcafd4ef216,2,30,N,A
11eeeab02c89f20,2,37,N,A
55dc2ae5105ed75,2,30,N,A
ef4df4b2b04edf6,1,27,N,B
091b430a15c3ad5,1,33,N,B
6e09aff6101cbdc,1,26,N,A
55f9643c9fc98ee,2,25,N,B
c11c05b48333f9b,1,22,N,B
fc9335aeb750e7a,1,24,N,B
88ee9ec0e0005dd,1,43,N,A
55d0ab868203126,1,21,N,B
36854942f712a6d,1,47,N,A
65860eb785a4509,1,20,N,B
86b5851ca7f0898,1,21,N,B
1c0cc327d7f5247,2,26,N,A
